Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Complement and coagulation cascades	18/85	1.595509e-10	4.403604e-08	0	0	8.333109e+00	1.879838e+02	C1QB;FGA;C1QA;ITGAM;SERPINA1;CR1;C1R;PROS1;ITGB2;SERPINE1;C5AR1;PLAUR;C4B;C3AR1;SERPING1;VSIG4;CFB;C1QC
KEGG_2021_Human	Staphylococcus aureus infection	17/95	7.872340e-09	1.086383e-06	0	0	6.745565e+00	1.258716e+02	C1QB;C1QA;HLA-DRB5;ITGAM;SELPLG;C1R;ITGB2;C5AR1;FPR1;FPR2;ITGAL;C4B;FCGR2A;C3AR1;DEFA1B;CFB;C1QC
KEGG_2021_Human	Pertussis	15/76	1.495107e-08	1.213902e-06	0	0	7.593049e+00	1.368152e+02	C1QB;C1QA;CXCL8;ITGAM;C1R;ITGB2;FOS;CXCL5;GNAI1;C4B;IL1B;SERPING1;ITGA5;CD14;C1QC
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	17/100	1.759279e-08	1.213902e-06	0	0	6.337562e+00	1.131621e+02	CCR1;CSF1R;CXCL8;CCL4L2;IL10RA;PPBP;TNFRSF1B;IL2RG;CXCL5;CXCR1;CCL4;CXCR2;CCL3;ACKR4;CCL19;CCL18;IL18R1
KEGG_2021_Human	Lysosome	18/128	1.392564e-07	7.686951e-06	0	0	5.064309e+00	7.994998e+01	CTSA;NAPSA;ATP6AP1;AP1B1;AP3D1;LAPTM5;NAGA;LAMP1;GM2A;PSAP;MAN2B1;TPP1;ACP2;ATP6V0D1;CTSE;CD68;CTSD;LGMN
KEGG_2021_Human	Amoebiasis	15/102	8.512793e-07	3.915885e-05	0	0	5.316690e+00	7.430885e+01	TGFB1;CXCL8;ITGAM;ACTN1;ITGB2;FN1;HSPB1;COL1A1;COL3A1;COL1A2;PLCB4;IL1B;COL4A3;CD14;PLCB1
KEGG_2021_Human	Legionellosis	11/57	1.599194e-06	6.305392e-05	0	0	7.342711e+00	9.799590e+01	VCP;CXCL8;ITGAM;CR1;IL1B;RAB1B;ITGB2;CD14;CLK4;HSPA1B;HSPA1A
KEGG_2021_Human	Chagas disease	14/102	4.542440e-06	1.567142e-04	0	0	4.897764e+00	6.025251e+01	SMAD2;C1QB;C1QA;TGFB1;CXCL8;SERPINE1;FOS;GNAI1;PLCB4;IL1B;CCL3;CALR;PLCB1;C1QC
KEGG_2021_Human	Phagosome	17/152	7.749211e-06	2.376425e-04	0	0	3.885916e+00	4.572915e+01	DYNC2H1;HLA-DRB5;ITGAM;ATP6AP1;C1R;TUBB;ITGB2;TUBB4B;THBS1;MARCO;SEC61A1;FCGR2A;LAMP1;CD14;CALR;ITGA5;ATP6V0D1
KEGG_2021_Human	Chemokine signaling pathway	19/192	1.376878e-05	3.800184e-04	0	0	3.393306e+00	3.798163e+01	CCR1;CXCL8;CCL4L2;PPBP;ARRB2;GNG11;CXCL5;GNAI1;PREX1;HCK;PLCB4;CXCR1;CCL4;CXCR2;RAC2;CCL3;CCL19;PLCB1;CCL18
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	13/100	1.804531e-05	4.527732e-04	0	0	4.593100e+00	5.016871e+01	SMAD2;TGFB1;CXCL8;MMP2;SERPINE1;FN1;COL1A1;COL3A1;COL1A2;PLCB4;IL1B;COL4A3;PLCB1
KEGG_2021_Human	Malaria	9/50	2.576860e-05	5.926777e-04	0	0	6.720691e+00	7.101320e+01	CXCL8;CR1;TGFB1;KLRB1;LRP1;IL1B;ITGB2;ITGAL;THBS1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	24/295	2.988108e-05	6.343982e-04	0	0	2.744381e+00	2.859174e+01	CCR1;IL33;CSF1R;TGFB1;CXCL8;IL10RA;CCL4L2;LIFR;PPBP;TNFRSF1B;IL2RG;CXCL5;BMP5;CD4;CXCR1;IL1B;CXCR2;CCL4;LEPR;CCL3;ACKR4;CCL19;CCL18;IL18R1
KEGG_2021_Human	Platelet activation	14/124	4.359071e-05	8.593597e-04	0	0	3.913738e+00	3.929654e+01	GUCY1A2;FGA;FCER1G;GNAI1;COL1A1;COL3A1;COL1A2;PLCB4;FCGR2A;TBXAS1;TLN1;PLCB1;PRKG1;FERMT3
