gene_symbol,log2fc,pval,padj
TAGLN,82.05234,0.0,0.0
MYL9,38.492786,0.0,0.0
TPM2,36.611607,0.0,0.0
PPP1R14A,14.08967,0.0,0.0
ADIRF,26.734192,0.0,0.0
ACTA2,65.22482,0.0,0.0
CALD1,19.816498,0.0,0.0
DSTN,23.581755,0.0,0.0
TPM1,10.38867,0.0,0.0
MYH11,12.651172,0.0,0.0
PLN,11.647207,0.0,0.0
HSPB1,24.708065,0.0,0.0
CRYAB,10.316567,0.0,0.0
IGFBP7,21.443739,0.0,0.0
MFGE8,8.849877,0.0,0.0
BGN,8.032777,0.0,0.0
SPARCL1,18.468216,0.0,0.0
NEXN,6.5811167,0.0,0.0
CSRP1,6.2574654,0.0,0.0
RAMP1,7.2198935,0.0,0.0
MAP1B,6.4396625,0.0,0.0
MYLK,7.673734,0.0,0.0
CNN1,10.634943,0.0,0.0
FHL1,5.9960327,0.0,0.0
PDLIM3,4.9740176,0.0,0.0
RGS5,13.102048,0.0,0.0
SOD3,5.3791413,0.0,0.0
CRIP2,4.2837844,0.0,0.0
FLNA,5.731784,0.0,0.0
CAV1,3.9066408,0.0,0.0
LMOD1,7.038463,0.0,0.0
MYL6,14.89377,0.0,0.0
ACTG2,13.345041,0.0,0.0
ACTN1,4.9476843,0.0,0.0
MGP,54.94862,0.0,0.0
CD151,4.5718284,0.0,0.0
PALLD,4.5981903,0.0,0.0
PLS3,4.417615,0.0,0.0
PDLIM7,4.432848,0.0,0.0
LPP,4.877558,0.0,0.0
NDUFA4,5.761009,0.0,0.0
FXYD1,3.355143,0.0,0.0
ITGB1,4.190079,0.0,0.0
MYH10,6.303854,0.0,0.0
SORBS2,5.4696965,0.0,0.0
TGFB1I1,4.1716785,0.0,0.0
NOV,7.534208,0.0,0.0
TCEAL4,4.289325,0.0,0.0
TINAGL1,4.5116,0.0,0.0
LTBP1,4.267656,0.0,0.0
PPP1R12B,5.132849,0.0,0.0
TGM2,4.285427,0.0,0.0
SYNPO2,5.0441947,0.0,0.0
CSRP2,5.172433,0.0,0.0
CALM2,5.0555425,0.0,0.0
FILIP1L,4.8443384,0.0,0.0
SMTN,5.2259603,0.0,0.0
COX7A1,2.9731774,0.0,0.0
FN1,7.7396655,0.0,0.0
HCFC1R1,3.150103,0.0,0.0
ASPN,5.6115556,0.0,0.0
COL6A2,2.6263387,0.0,0.0
MGST3,2.9957695,0.0,0.0
ILK,3.0334065,0.0,0.0
SVIL,4.031848,0.0,0.0
SNCG,4.5923066,0.0,0.0
TSC22D1,3.4028988,0.0,0.0
LGALS1,7.194806,0.0,0.0
ITGA8,7.178824,0.0,0.0
AEBP1,3.8956068,0.0,0.0
VIM,16.446781,0.0,0.0
A2M,3.121658,0.0,0.0
MSRB3,4.2281504,0.0,0.0
KCNMB1,4.813885,1.6298722308754e-309,3.600735708255292e-307
CAV2,3.3075714,5.112504297963198e-308,1.1169117722950266e-305
MCAM,5.253618,6.59512248963775e-291,1.3795031743750794e-288
ACTB,27.449747,2.950439056550362e-285,6.106477129462444e-283
FBLIM1,4.341269,6.318595489963455e-281,1.2941273387881402e-278
CYB5R3,2.5194912,2.9873290408231253e-277,5.993557510271866e-275
SPARC,3.2452743,1.4120695524695192e-275,2.804455711177342e-273
C12orf75,3.6012874,1.5449606023321591e-266,2.978138761083815e-264
OGN,3.7011056,4.0390451686450426e-260,7.636125587105657e-258
ID4,5.053484,3.675156263627418e-256,6.881992614804028e-254
SLMAP,4.3493805,2.263081063437719e-253,4.1978018744634374e-251
PPP1R12A,2.9087248,5.485941833211819e-252,9.987461881908406e-250
S100A6,12.561634,2.5842193003069886e-251,4.661552282810643e-249
CLIC4,2.865917,3.2868726056608403e-239,5.719158333849863e-237
C11orf96,3.3692589,1.2812706993837654e-238,2.1906386514159647e-236
SLC25A4,3.2439094,1.0379944052684696e-237,1.759400516930056e-235
PPP1CB,2.4866543,1.3687928847141937e-236,2.3002739913889296e-234
DKK3,4.2527165,2.400683871057724e-236,4.000190362096353e-234
