target_chembl_id,gene_symbol,compound_chembl_id,compound_name,standard_value,standard_type,is_approved_drug,canonical_smiles,pchembl_value
CHEMBL1940,CACNA1C,CHEMBL343771,,540.0,IC50,0,COc1ccc(CCNC2CCCC(C(C#N)(c3ccc(OC)c(OC)c3)C(C)C)C2)cc1OC,6.27
CHEMBL1940,CACNA1C,CHEMBL138302,,390.0,IC50,0,COc1ccc(CCN(C)C2CCCC(C(C#N)(c3ccc(OC)c(OC)c3)C(C)C)C2)cc1OC,6.41
CHEMBL1940,CACNA1C,CHEMBL6966,VERAPAMIL,150.0,IC50,1,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.82
CHEMBL2095229,CACNA1C,CHEMBL1099207,,0.046,IC50,0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,10.34
CHEMBL2095229,CACNA1C,CHEMBL285868,,0.05,IC50,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,10.3
CHEMBL2095229,CACNA1C,CHEMBL35123,,0.39,IC50,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,9.41
CHEMBL2095229,CACNA1C,CHEMBL286157,,0.01,IC50,0,CCCCCCCCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,11.0
CHEMBL2095229,CACNA1C,CHEMBL286598,,0.017,IC50,0,CCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCCO/C(O)=C2\C(C)=NC(C)=C(C(=O)OC(C)C)C2c2cccc([N+](=O)[O-])c2)C1c1ccc([N+](=O)[O-])cc1,10.77
CHEMBL2095229,CACNA1C,CHEMBL35368,,0.045,IC50,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,10.35
CHEMBL2095229,CACNA1C,CHEMBL37899,,0.03,IC50,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,10.52
CHEMBL2095229,CACNA1C,CHEMBL37402,,0.022,IC50,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,10.66
CHEMBL2095229,CACNA1C,CHEMBL475534,NITRENDIPINE,0.15,IC50,1,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,9.82
CHEMBL2095229,CACNA1C,CHEMBL204616,,0.033,IC50,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,10.48
CHEMBL2095229,CACNA1C,CHEMBL441428,,0.015,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],10.82
CHEMBL2095229,CACNA1C,CHEMBL105444,,0.25,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1,9.6
CHEMBL2095229,CACNA1C,CHEMBL318521,,2.8,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccc(Cl)cc1,8.55
CHEMBL2095229,CACNA1C,CHEMBL103806,,0.027,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1C(F)(F)F,10.57
CHEMBL2095229,CACNA1C,CHEMBL321999,,0.14,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1cccc(C(F)(F)F)c1,9.85
CHEMBL2095229,CACNA1C,CHEMBL319033,,1.5,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccc(F)cc1,8.82
CHEMBL2095229,CACNA1C,CHEMBL317044,,0.013,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1cccc(C#N)c1,10.89
CHEMBL2095229,CACNA1C,CHEMBL102498,,2.3,IC50,0,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1cccc(OC)c1,8.64
CHEMBL1940,CACNA1C,CHEMBL3392285,,35.0,Kd,0,CCOC(=O)C1=C(C)NC(SC)=NC1c1ccccc1C(F)(F)F,7.46
CHEMBL1940,CACNA1C,CHEMBL88149,,105.0,Kd,0,CCOC(=O)C1=C(C)N=C(OC)NC1c1cccc([N+](=O)[O-])c1,6.98
CHEMBL1940,CACNA1C,CHEMBL3392281,,2.6,Kd,0,CCC(C)OC(=O)C1=C(C)NC(SC)=NC1c1cccc([N+](=O)[O-])c1,8.59
CHEMBL1940,CACNA1C,CHEMBL39925,,23.0,Kd,0,CCOC(=O)C1=C(C)NC(SC)=NC1c1cccc([N+](=O)[O-])c1,7.64
CHEMBL1940,CACNA1C,CHEMBL3392278,,3400.0,Kd,0,CCOC(=O)C1=C(C)NC(N(C)C)=NC1c1cccc([N+](=O)[O-])c1,5.47
CHEMBL1940,CACNA1C,CHEMBL2398396,,12.0,Kd,0,CSC1=NC(c2cccc([N+](=O)[O-])c2)C(C(=O)OC(C)C)=C(C)N1,7.92
CHEMBL1940,CACNA1C,CHEMBL282279,,120.0,Kd,0,COC(=O)C1=C(C)N=C(SC)NC1c1cccc([N+](=O)[O-])c1,6.92
CHEMBL1940,CACNA1C,CHEMBL158853,,360.0,Kd,0,CO/C(O)=C1\C(C)=Nc2ccccc2SC1c1cccc([N+](=O)[O-])c1,6.44
CHEMBL1940,CACNA1C,CHEMBL345843,,488.0,Kd,0,COC(=O)C1=C(C)N(CCN(C)C)c2ccccc2SC1c1cccc([N+](=O)[O-])c1,6.31
CHEMBL1940,CACNA1C,CHEMBL539426,,39.5,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1CCc1cccc(OC)c1,7.4
CHEMBL1940,CACNA1C,CHEMBL325811,,6.89,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1CCc1cccc(Br)c1,8.16
