gene_symbol,log2fc
MUC16,-5.193114628814202
GSTM1,-5.036042749925531
ZFP57,-5.018133928725234
CYP1A1,-4.096140732322337
LEP,-3.837943241891027
CRIPTO,3.8182329757881215
SPP1,3.79764630506301
ENSG00000274422,-3.764570055560808
TNNI1,3.721507210717885
SYT4,-3.6958082694094463
ENSG00000269292,-3.612745657234694
TSIX,-3.4939888406736657
MYL4,3.478163230865096
ENSG00000279159,-3.4429434958487284
MUC3A,-3.3697508120152366
LRP2,-3.357552004618084
FAM153A,-3.2587342684001683
ENSG00000234961,-3.227535724612408
TNC,3.220415165345109
HP,-3.2129937233341983
HMOX1,3.211308922207432
HABP2,-3.124695747449315
RNF17,-3.0931094043914813
SERPINE1,3.0737640546720546
TCHH,-3.073248982030639
FCN3,3.03897360949208
COMP,-2.99397621237223
RNU6-6P,-2.987060944292502
PRG4,-2.9569562311066684
UPK3B,-2.9341120643435428
TSPEAR,-2.9068905956085187
RBP4,-2.8603480096714886
PLIN1,-2.838937567267484
KLHL40,2.8017738897943043
LINC02604,-2.792006957724168
FCGBP,2.791277716423389
GRIN2B,-2.777607578663552
ENSG00000203825,-2.763765653509921
ALOX15,-2.7459543773934607
HOXB3,-2.744673689301469
TRARG1,-2.7261046015344395
MTCO2P12,-2.72196343082696
LOXL4,2.689467186046988
HMGN5,-2.6874340083163286
ENSG00000280375,-2.6818240399737454
UPF3AP3,-2.679144939777864
FAM9C,-2.6629650127224296
CCL11,2.654294521829512
TGM1,-2.6331297831816665
ENSG00000267328,-2.6283847810122847
SGK2,-2.6244908649077936
ADIPOQ,-2.6218640296688167
IGFN1,-2.604862058158861
THRSP,-2.603341030036011
FOSB,-2.540832935860884
NPIPB5,-2.5319012569697423
SCUBE1,-2.5277376320282063
MFAP1P1,-2.525883267967134
CIDEC,-2.5175756609912816
MTND6P4,-2.5025003405291835
FER1L6,-2.493040011280117
RNA5SP327,-2.4374053123072983
SNX32,-2.4329594072761065
H2AC13,2.426700416804424
FCGR1A,2.42349907802704
ENSG00000280007,-2.4214637684382767
ENSG00000280048,-2.4214637684382767
YJEFN3,-2.415037499278844
RNA5SP195,-2.39231742277876
H3C7,2.3879256536616027
ENSG00000234638,-2.3824696368224134
PSPHP1,2.379643592743649
H1-3,2.37851162325373
ENSG00000285633,-2.36923380966572
ANKRD20A7P,-2.369233809665719
RNVU1-18,-2.359895945086383
NSG2,-2.357552004618084
ENSG00000274267,2.347923303420307
SFRP2,-2.341036917835067
CYP3A5,-2.341036917835067
ENSG00000279569,-2.3279268355088054
ZFHX4,-2.315549182324657
ADGRV1,-2.308122295362332
HELLPAR,-2.2969817377571315
H1-5,2.2902192351600243
ANKRD20A11P,-2.273018494406416
ENSG00000269604,-2.264703226194412
NUMA1-AS1,-2.2639449107809537
ENSG00000226636,-2.2521397647305
KLB,-2.2479275134435857
BEX1,2.242493627392957
TREM2,2.232081477504882
H2BC17,2.2247869364768307
TRHDE-AS1,-2.211308922207432
ENSG00000285668,-2.207595419408367
ALOX12P2,-2.2051144299046124
ENSG00000267042,-2.2001396144893204
SNORD116-19,2.194878928774594
TRIM16L,2.185728679666345
ENSG00000272078,-2.178803152788765
PDE4DIPP1,2.174100677413505
DPP6,-2.1699250014423126
HMGB1P29,-2.1699250014423126
FAT2,-2.162271428898877
RASD1,2.1591879508348013
SCN1A-AS1,-2.156504485679991
ENSG00000253144,-2.156504485679991
GAS6-AS1,-2.1545770371088766
MSTN,2.153623189113212
ACSBG1,-2.148391839892671
CFLAR-AS1,-2.148391839892671
ENSG00000278272,2.145262947208044
DEFA3,2.1443899093351746
SNORD116-13,2.132450296023649
SYNM-AS2,-2.128628585071241
SNORA12,2.1176425618977603
RPS4Y1,2.117534927105599
FRMPD2,-2.115477217419936
H4C6,2.11272959986077
CCL2,2.1086570635194626
SNORD90,-2.101538026462062
C8orf34,-2.09873395358536
OPN5,-2.093735438265869
MTCO1P11,-2.0931094043914813
COL3A1,2.093070765659206
ENSG00000277007,-2.080110174963264
LINC00861,-2.078002512001273
MAPK8IP1P2,-2.075288127304237
PLEK2,2.074000581443777
PPBP,2.070389327891398
EVPL,-2.0660891904577725
SH3TC2-DT,-2.0660891904577725
SELE,2.063916677623272
ARF1P2,-2.0588936890535687
CCDC144NL,-2.0588936890535683
COL17A1,-2.0588936890535683
ENSG00000280291,-2.0544477840223765
SNORD115-1,2.0489096004809464
LGALS12,-2.033015057227963
GABRA2,-2.0238467419543675
TMT1B,2.0210616155278296
KRT16P6,-2.019899557437705
ENSG00000227304,-2.017073513358941
H3C8,2.016119665363277
ENSG00000276980,-2.014950341465972
ADAMTS16,-2.011972641666076
RPL35P5,2.0071194119001707
MTND1P11,-2.004001930557496
IGF2,-2.003915050003384
NWD1,-2.0
CACNA1A,-2.0
NDUFAF2P2,-2.0
LINC01934,-2.0
PITX2,-2.0
LOC124904154,1.995338622630137
GPR3,1.989804232894112
ENSG00000270956,-1.987060944292502
SLPI,-1.981091537449936
FAM238C,-1.9798221180623696
IGHM,1.9772799234999163
ENSG00000278972,-1.9772799234999163
KRT19,-1.9678195942508503
INHA,1.96291068126478
ENSG00000261635,-1.9593580155026544
SFRP5,-1.9510903995190527
ADAMTS4,1.9446017613409088
DTHD1,-1.9385994553358568
ENSG00000261208,-1.9385994553358568
ENSG00000276591,-1.9385994553358568
ENSG00000273338,1.932885804141463
HLA-DRB5,1.9296564421643123
DLGAP2,-1.9281070815182144
CCDC197,1.9278502142441647
ERICH3,-1.925999418556224
RPS2P46,1.925999418556223
SLC10A4,-1.92283213947754
H2AC14,1.921997487998727
HSP90AA2P,-1.920565532505595
ENSG00000267784,-1.920565532505595
SNORD3B-1,1.917537839808027
ALX4,-1.917537839808027
TNKS2-DT,1.915786996096915
ENSG00000272030,-1.915607812709628
ZNF385B,-1.9139374011015875
DCDC1,-1.9132883668066687
PPP1R14A,-1.910613681651236
PTX3,1.9093132578753744
KIF1A,1.908004215919227
ENSG00000258732,-1.9068905956085185
FHAD1,-1.9033239805883264
LINC02185,-1.9023033261128668
BICDL1,-1.901537361114312
ENSG00000238273,-1.9004643264490857
ENSG00000254051,-1.89616418901546
ENSG00000255856,-1.892570924291452
ENSG00000267263,-1.8875252707415875
PPP3R2,-1.8875252707415875
TRPV6,-1.8853574340588768
RNU1-27P,-1.8853574340588768
MTCYBP18,1.87924784053939
TMEM151B,1.877744249949002
SNRPGP15,1.8769891098946565
GBX1,-1.8744691179161408
ENSG00000267749,-1.8744691179161408
ENSG00000255823,1.866569012591372
PRO1804,-1.8662486111111725
ENSG00000279670,-1.8594877263777267
MYO5B,-1.857980995127572
HOXA-AS2,-1.855610090664825
RTN4R,-1.852442811586142
GPM6A,-1.852442811586142
SULT1C2,-1.851858606256884
FAM184A,-1.85042364394949
RNVU1-28,1.849687730118999
TOX2,-1.848738842822724
KCNJ6,-1.8413022539809416
ENSG00000250753,-1.8413022539809407
H2BC3,1.8390637817849425
RETREG1-AS1,-1.83871909296694
STAB2,-1.83871909296694
SNORA74A,1.8347480560990368
VDAC2P2,-1.8345763907926285
ENSG00000229021,-1.8345763907926285
FCRL5,-1.8345763907926285
ENSG00000283662,-1.830554538213387
NAT8L,-1.82781902461732
KRT7,-1.8244284354165456
GRIA4,-1.8244284354165456
ARC,1.821402696543237
ENSG00000251244,-1.8210298589546805
RNU6-1010P,-1.8210298589546805
NR0B2,1.8152601201429504
LOC124900922,-1.8142085930986669
CGN,-1.8135868757691187
SNORA5C,1.810282271809127
RNVU1-2,1.8096687878958504
BICRA,-1.8081180508989307
NCAPGP1,-1.807354922057604
HSP90AB2P,-1.807354922057604
LOC100506551,-1.802060622388091
RN7SL3,1.8007291829296297
CDH8,-1.7997013495141687
SYTL5,1.7974342082589116
KCNK3,1.7972661044340204
CLEC4G,1.796466605914868
PCAT2,-1.7958592832197746
ENSG00000271141,-1.7958592832197746
H3C10,1.7918918046697996
HNRNPA1P66,-1.7910990312996848
