compound_chembl_id,compound_name,canonical_smiles,gene_symbol,tissue,is_approved_drug,pchembl_value,X
CHEMBL2179074,,CCN(CC)CCOc1ccccc1Nc1nc(-c2ccc(Cl)cc2)cc(-c2ccc(Cl)cc2)n1,AGER,lung,0,5.34,0.04460726773303884
CHEMBL2205553,,CCCCc1sc(-c2ccc(OCCN(CC)CC)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.8,-0.1766329659975434
CHEMBL2205552,,CCCCc1sc(-c2ccc(OCCN(C)C)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.5,-0.17615500862271027
CHEMBL2205550,,CCCCc1sc(-c2ccc(OCCN3CCN(C)CC3)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.92,-0.16058501392529287
CHEMBL2205549,,CCCCc1sc(-c2ccc(OCCN3CCCCC3)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.98,-0.29528402646410695
CHEMBL2205572,,CCCCc1sc(-c2ccc(OCCN3CCCC3)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,6.04,-0.28792422854654787
CHEMBL2205569,,CCCCc1sc(-c2ccc(OCCCN3CCN(C)CC3)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.91,-0.15736065114669143
CHEMBL2205568,,CCCCc1sc(-c2ccc(OCCCN3CCCCC3)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.74,-0.29205966368550557
CHEMBL3216782,,CCCCc1sc(Nc2ccc(OCCCN(CC)CC)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1.Cl.Cl.Cl,AGER,lung,0,6.26,-0.010510185448627012
CHEMBL2205565,,CCCCc1sc(NC(=O)c2ccc(OCCCN(CC)CC)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1.Cl,AGER,lung,0,5.25,-0.13791548214757138
CHEMBL2205561,,CCCCc1nc(-c2ccc(Oc3ccc(Cl)cc3)cc2)sc1-c1ccc(OCC2CCCN(CC)C2)cc1,AGER,lung,0,5.94,-0.5004664549223389
CHEMBL2205560,,CCCCc1nc(-c2ccc(Oc3ccc(Cl)cc3)cc2)sc1-c1ccc(OCCCN(CC)CC)cc1,AGER,lung,0,5.7,-0.2597912559729051
CHEMBL2205559,,CCCCc1sc(-c2ccc(OCC3CCCN(CC)C3)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,6.18,-0.4338619684286334
CHEMBL2205558,,CCCCc1sc(-c2ccc(OCCCN(CC)CC)cc2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.76,-0.1810716968740386
CHEMBL2205557,,CCCCc1sc(-c2ccc(Oc3ccc(Cl)cc3)cc2)nc1-c1ccc(OCC2CCCN(CC)C2)cc1,AGER,lung,0,5.72,-0.4338619684286334
