compound_chembl_id,compound_name,canonical_smiles,gene_symbol,tissue,is_approved_drug,pchembl_value,X,Y,Z,ecfp4_pca_0,ecfp4_pca_1,ecfp4_pca_2,ecfp4_pca_3,ecfp4_pca_4,ecfp4_pca_5,ecfp4_pca_6,ecfp4_pca_7,ecfp4_pca_8,ecfp4_pca_9,ecfp4_pca_10,ecfp4_pca_11,ecfp4_pca_12,ecfp4_pca_13,ecfp4_pca_14,ecfp4_pca_15,ecfp4_pca_16,ecfp4_pca_17,ecfp4_pca_18,ecfp4_pca_19,ecfp4_pca_20,ecfp4_pca_21,ecfp4_pca_22,ecfp4_pca_23,ecfp4_pca_24,ecfp4_pca_25,ecfp4_pca_26,ecfp4_pca_27,ecfp4_pca_28,ecfp4_pca_29,ecfp4_pca_30,ecfp4_pca_31,ecfp4_pca_32,ecfp4_pca_33,ecfp4_pca_34,ecfp4_pca_35,ecfp4_pca_36,ecfp4_pca_37,ecfp4_pca_38,ecfp4_pca_39,ecfp4_pca_40,ecfp4_pca_41,ecfp4_pca_42,ecfp4_pca_43,ecfp4_pca_44,ecfp4_pca_45,ecfp4_pca_46,ecfp4_pca_47,ecfp4_pca_48,ecfp4_pca_49,ecfp4_pca_50,ecfp4_pca_51,ecfp4_pca_52,ecfp4_pca_53,ecfp4_pca_54,ecfp4_pca_55,ecfp4_pca_56,ecfp4_pca_57,ecfp4_pca_58,ecfp4_pca_59,ecfp4_pca_60,ecfp4_pca_61,ecfp4_pca_62,ecfp4_pca_63,mol_weight,logp,tpsa,hbd,hba,num_rota,qed,go_pca_0,go_pca_1,go_pca_2,go_pca_3,go_pca_4,go_pca_5,go_pca_6,go_pca_7,go_pca_8,go_pca_9,go_pca_10,go_pca_11,go_pca_12,go_pca_13,go_pca_14,go_pca_15,go_pca_16,go_pca_17,go_pca_18,go_pca_19,go_pca_20,go_pca_21,go_pca_22,go_pca_23,go_pca_24,go_pca_25,go_pca_26,go_pca_27,go_pca_28,go_pca_29,go_pca_30,go_pca_31,heart_tpm,pv_disease_log2fc,rv_disease_log2fc,pv_intervention_potential,rv_specific_effect_prob
CHEMBL1596655,,CC1(C)CCN2CCC(C)(C)c3c(O)ccc1c32.CS(=O)(=O)O,TNNI3,heart,0,5.48,-0.1010207020298255,-0.35122162,2.099407805929056,-0.10102154,-0.55439794,-0.34194037,0.13076514,0.08860409,-0.61027575,-0.50291884,-0.28314972,-0.6003409,-0.20859084,-0.23295738,-0.7749091,-0.71304923,-0.660364,-0.51217014,-0.48782036,-0.10121836,-0.007147868,-0.06313339,0.19268812,-0.3060907,-0.5664774,0.03799731,-0.09973689,0.14102158,0.054525893,-0.22597893,-0.117971234,0.17367889,-0.017180908,-0.32043347,-0.035364937,0.13847916,-0.23580886,-0.063558035,0.028438231,-0.1663279,-0.0010963376,-0.3925637,0.5617334,0.0179151,0.0005415696,0.0060807546,0.58198905,-0.5919381,-0.363231,-0.10322466,-1.0428478,-0.29816213,0.05460254,0.43712816,0.16995312,-0.15222687,-0.23007305,0.31368372,-0.8578749,0.18384169,0.2762904,0.41474965,0.97937644,0.13796422,-0.1937869,-0.26061124,-0.053589217,341.47300000000007,3.065200000000001,77.84,2,4,0,0.7092145504373898,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.0061276555,0.9999988
CHEMBL1346165,,CCN1C(=O)/C(=C/N2CCc3ccccc32)SC1=S,TNNI3,heart,0,5.27,-0.4813463127873884,-0.35122162,2.099407805929056,-0.4813496,-0.91032684,-0.6722963,0.7488451,-1.1972324,-0.3633171,-0.41172072,-0.41121417,-0.86917365,0.5241611,-0.68369335,-0.7047439,-0.21850638,-0.6454601,-0.2925096,-0.33817342,-0.480264,-0.4249602,0.23693703,0.7467821,0.8674237,-0.410387,-0.7931517,0.9256708,-0.96686506,-0.30322218,0.7996312,0.17113401,-0.5727649,0.23585834,-0.6140938,-0.2668686,-0.37239945,0.9684693,-0.68504906,-0.1447662,-0.0025123558,-0.09781216,0.6406075,0.80125374,-0.5117673,0.68205655,0.91118854,-0.4837321,-0.17693698,0.16943376,0.014245542,0.35356498,0.056994054,-0.32901415,-0.34244508,0.25639963,0.59165615,-0.30698603,-0.5084412,-0.41345203,-0.20538744,0.56124705,-0.9429878,0.07289341,-0.8001961,-0.23247156,-0.111449435,-0.16894566,290.413,2.770700000000001,23.550000000000004,0,4,2,0.6171189845743297,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.012144461,0.9999994
CHEMBL1398812,,O=[N+]([O-])c1ccc(N2CCCCCC2)c2nonc12,TNNI3,heart,0,6.38,0.1164012869439816,-0.35122162,2.099407805929056,0.11639999,-0.75009537,-1.1594121,0.0434168,-0.84852237,-0.35177228,-0.5256809,0.22642297,-0.5310108,-0.28063193,-0.40222424,-0.33183867,-0.71564376,-0.7089711,-1.1287683,-0.6194676,0.18942304,-0.6942212,-0.4469146,-0.20137161,0.045755096,-0.48527554,-0.24285905,-0.25370538,0.253879,0.6944745,0.15407449,0.07228104,-0.1236599,-0.0015466843,-0.036433414,0.23632675,0.25818405,-0.36194894,0.03513013,0.74139947,0.12972118,0.7242655,0.009182209,-0.23658758,-0.22360216,-0.43040702,0.4592854,-0.19252978,-0.27554232,-0.8551265,-0.69099444,-0.5876367,-0.10318241,0.0016423357,-0.21384439,0.53635895,-0.14778894,0.43756494,0.45729744,0.12610386,0.14482123,0.27710578,0.9175561,-0.2459569,-0.6138194,-0.3742657,0.0011700958,-0.5418486,262.26899999999995,2.511400000000001,85.3,0,6,2,0.610238454144668,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.04416381,0.9999893
CHEMBL1302799,,N#C/C(=C\c1ccc(N2CCOCC2)o1)C(=O)NC1CCCCC1,TNNI3,heart,0,5.16,-0.2876972850183722,-0.35122162,2.099407805929056,-0.28769937,-0.6845973,-0.7629437,0.13551798,0.15321788,0.055691183,-0.8792524,-0.36721885,-1.2418579,0.38818777,-0.61111087,0.008381877,-0.59742105,-0.67341864,-1.2236351,-1.3995908,0.078627035,-0.825878,-0.7689581,-0.12417875,-0.010395603,0.29817668,0.58680284,-0.08709781,0.5023384,-0.5292206,-0.50585014,0.5253577,-0.45471394,1.3479023,0.1655163,1.3006659,-0.16033582,-0.93397254,0.6111164,-0.12181987,0.68487024,0.38966265,0.36278751,0.6228197,-1.3470368,-0.65547055,0.5741171,0.51655483,-0.30711192,-0.5547182,-0.45104292,-0.6887387,0.49259594,-0.8261718,-1.0601974,-1.0062671,-0.65202385,0.17320482,-0.0059998618,0.63940454,0.27754018,-0.11010924,0.95281285,-0.087494515,-0.10667364,0.47956064,-0.114132196,0.82016444,329.40000000000015,2.472080000000001,78.5,1,5,4,0.6780051656235313,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.017824382,0.9999988
CHEMBL1429070,,Nc1ccc2nc3c(O)nc(S)nc3nc2c1,TNNI3,heart,0,5.94,-0.1153612669031344,-0.35122162,2.099407805929056,-0.115362994,-0.7825753,-0.10962325,-0.32918707,-0.7321576,-0.35417223,0.6440503,-0.21277164,-0.84675103,-0.11059771,-0.44946167,-0.10408159,-1.1035223,-0.9648352,0.1055724,0.091098405,0.31414375,0.32300565,-0.088067204,-0.5434197,-0.23853163,-0.120507404,0.18995424,-0.6042506,0.38885552,-0.14153042,-0.34698492,0.4377637,-0.59370685,-0.21441545,0.25498244,-0.17914756,0.018934319,0.3510288,0.36353886,0.10841887,0.5859619,0.20335732,-0.3601126,-0.9463904,0.94151276,-0.17211741,-0.056572314,0.26044494,-0.38628805,-0.02974765,-0.056374155,-0.41387898,-0.1013863,-0.22776349,0.095279925,-0.2851,0.47131488,-0.0548745,-0.17933291,-0.08466545,-0.24396825,-0.38587523,-0.006702218,0.21986821,0.16054972,0.09120039,-0.3417612,-0.1092812,245.267,1.1494999999999995,97.81,3,7,0,0.2377349879710279,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.038454533,0.99999297
CHEMBL1359099,,Cc1ccc(N2C(=O)NC(=O)/C(=C/C=C/Nc3ccccc3)C2=O)cc1,TNNI3,heart,0,5.26,-0.4768111795655088,-0.35122162,2.099407805929056,-0.47681364,-0.89342034,-0.34286365,-0.11040288,-0.9708812,-0.4498393,-0.24401419,-0.37008494,-0.52652043,0.7264308,-0.20888248,-0.27154857,-0.81867194,-1.0388391,-0.687127,-0.03699178,-0.36186352,0.42658693,-0.45799962,0.40377036,0.39511144,0.11537478,0.48972076,0.1983299,-0.23270021,-0.3492558,-0.08999189,-0.61127573,0.12406339,0.48882496,-0.61447954,-0.44519517,-0.5503953,0.025973868,-0.8836195,0.2351386,-0.42319745,-0.27494213,0.46807826,0.28590614,-0.42965946,0.2826413,-0.14875345,0.7823137,0.8519074,0.40786085,0.6055322,0.7972516,0.56792855,-0.41927093,0.45676082,0.09954176,-0.28693265,-0.57054794,0.7255997,-0.37129334,-0.3051291,-0.09334613,0.1529637,0.41774848,0.41668996,0.11429688,0.19477564,0.36432317,347.3740000000001,3.130020000000001,78.51,2,4,4,0.6578507170123346,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,-0.010227516,0.99999976
CHEMBL1379673,,Cc1cccn2c(=O)c(/C=C3\SC(=S)N(CC(C)C)C3=O)c(NCCCOC(C)C)nc12,TNNI3,heart,0,6.54,-0.5217768359873085,-0.35122162,2.099407805929056,-0.5217774,-0.60378736,0.06867398,-0.19794495,-0.8050342,-0.33845925,0.67039365,-0.37854394,-0.39304668,-0.38975024,0.13495639,-0.44303757,-0.32946685,-0.8270891,0.11905556,-0.12582356,-0.64071053,0.046705853,0.14137201,0.35992232,1.4383239,-0.58214235,-0.48874402,0.7744216,-0.91381496,-0.36752555,0.2921224,-0.29709724,-0.2989001,0.4688055,-1.4573674,-0.6429765,-0.36323398,-0.10851144,0.301948,0.1837808,0.29039055,-0.7099049,0.3058062,0.68213433,-0.11750022,0.5091366,1.4673785,0.0038603884,-0.04944622,0.55534685,0.4055659,0.79230714,0.06240993,0.2831104,-0.34876633,-0.29309747,0.006909377,0.62168753,-0.46366587,-1.089798,-1.2202798,0.27818927,-1.2326099,-0.88979334,-0.3194374,-0.8372175,0.822588,-0.66165566,474.6520000000003,4.087120000000003,75.94,1,8,9,0.3332697684715728,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.043892965,0.9999908
CHEMBL1468444,,CSc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2c2nnc(SC)s2)cc1,TNNI3,heart,0,6.55,-0.8836670349375428,-0.35122162,2.099407805929056,-0.8836686,-0.6753392,-0.2905279,-0.36576596,-0.8690096,0.022965547,-0.17367361,-0.15953827,-0.4316169,0.04627498,-0.15473945,-0.20271884,0.03306727,-0.9075924,-0.7212207,-0.23586638,-0.28693485,-0.1473792,-0.08583038,0.33122325,-0.03681917,0.03497393,-0.2646803,-0.062092304,-0.1178673,-0.14900032,0.015492255,-0.4242794,-0.51959324,0.46316785,-0.2535185,0.8057237,-0.82541263,-0.39372927,0.26349857,-0.42253146,-0.6048736,0.17856695,-0.09930412,-0.41537768,1.2195632,-0.24298859,0.109267965,-0.34747535,-0.7860047,0.048133302,0.059763614,0.46635732,-0.16895662,0.05045064,0.8824064,-0.43870106,-0.102973714,0.6125429,0.10028992,-0.41166413,-0.10883114,-0.10165182,0.0024819875,0.4042843,-0.289096,0.5450519,-0.9180351,-0.13277413,445.54700000000014,4.357800000000003,96.53,1,9,6,0.3396508577484802,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.033579856,0.9999503
CHEMBL1604510,,COc1ccc(/C=C2/SC(c3ccc(C)cc3)=NC2=O)cc1OC,TNNI3,heart,0,6.13,-0.1410096135981871,-0.35122162,2.099407805929056,-0.14101242,-1.135781,-0.16154443,0.09531591,-0.07218275,-0.744496,1.2929316,0.7242986,0.040856738,-0.53820276,-0.37645227,-0.45926276,-0.20125781,-1.5013502,-0.09791916,0.275133,-0.3917896,0.24022262,0.21957,0.0024168745,1.168506,0.5721528,0.35390168,-0.021185908,-1.073983,0.07958314,0.5363149,-0.26559836,0.052398644,0.22951317,-0.0009022982,0.41928706,-0.7641314,-0.45263734,-0.42813376,0.7855764,-0.0617225,-0.5675286,0.465653,-0.8282318,0.06874115,0.18384287,0.6012121,0.0388608,0.45134223,0.3637956,0.35123304,-0.16230403,0.17923094,0.19769685,-0.21591541,0.6131595,-0.13497965,0.095472954,-0.3047521,-0.33730498,-0.48973152,-0.121326596,-0.79508597,-0.66016704,0.35809636,0.32627478,-0.21562532,0.40315592,339.4160000000001,4.073320000000003,47.89,0,4,4,0.7878679649689284,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.022886992,0.99999785
CHEMBL1970784,,COc1ccc(N/C=C2\C(=O)CCc3c2oc2cc(Cl)c(O)c(Cl)c32)cc1,TNNI3,heart,0,5.41,0.1891265064791227,-0.35122162,2.099407805929056,0.18912417,-0.8682468,-0.15808947,0.5074627,0.24217422,-1.1507486,1.0651389,-0.2768999,-0.46059716,-0.2782943,-0.37450317,0.030717067,0.45210862,-0.91851336,-0.478539,-0.27727893,-0.0103826085,0.04341613,-0.7763381,0.27079624,0.30736428,0.57924545,0.5885987,-0.9733592,0.43624136,-0.58168465,0.41541943,0.021206455,-0.2864749,-0.021819318,0.33397856,0.91668165,-0.10082167,-0.63004744,0.21623948,-0.45031065,0.07481433,-0.0023202212,0.41050822,0.9058909,-0.37868243,-0.08023769,-0.8433048,-0.09904824,0.16428678,0.060615566,0.34141186,-0.24588998,0.4227486,0.13889013,0.5955804,-0.04428723,0.16080211,-0.58478427,0.212424,-0.21427251,-0.82766545,-0.20906337,0.36187398,0.16660793,-0.9951275,0.554422,-0.60184133,-0.37385103,404.2490000000001,5.422100000000003,71.7,2,5,3,0.5705492303916355,-3.1315811394660056,-1.825740552360109,2.712939765376096,-1.66328662918685,1.86547945332622,-0.1072098061634605,1.8469014102478524e-15,2.939288599538692e-16,3.9335798186073973e-16,-1.142939516767094e-17,7.174266383013409e-18,-4.189274192458594e-19,-4.899706171127152e-20,-1.0221475463570677e-17,-6.71723672052016e-18,-2.033469020046641e-17,3.89795906434822e-18,1.2319467513090937e-17,-4.608393442989929e-18,-9.505251796380738e-18,-1.4420393181122946e-18,1.3388102862800146e-18,-2.0381285014746082e-18,3.901034855648946e-18,-2.443947202963225e-19,-1.3981686986930776e-18,-1.0726516062792089e-18,3.009800303091463e-18,2.209678732530833e-18,-9.963117094100782e-19,2.237928959832966e-18,2.1424542381876002e-18,4801.572780092594,0.0,1.0615641013136905,0.037160426,0.9999908
