Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Heart Contraction (GO:0060047)	9/41	2.262828e-20	1.016010e-17	0	0	5.610656e+02	2.537985e+04	RYR2;ACTC1;TNNT2;MYL2;MYL3;TNNI3;SCN5A;MYH6;MYH7
GO_Biological_Process_2023	Ventricular Cardiac Muscle Tissue Development (GO:0003229)	8/25	1.277493e-19	2.867973e-17	0	0	8.540749e+02	3.715586e+04	TNNT2;MYL2;MYL3;TNNI3;TBX5;NKX2-5;MYH6;MYH7
GO_Biological_Process_2023	Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)	8/33	1.633672e-18	1.833797e-16	0	0	5.805382e+02	2.377635e+04	RYR2;TNNT2;MYL2;MYL3;TNNI3;NKX2-5;MYH6;MYH7
GO_Biological_Process_2023	Cardiac Muscle Contraction (GO:0060048)	8/33	1.633672e-18	1.833797e-16	0	0	5.805382e+02	2.377635e+04	RYR2;TNNT2;MYL2;MYL3;TNNI3;SCN5A;MYH6;MYH7
GO_Biological_Process_2023	Cardiac Ventricle Morphogenesis (GO:0003208)	8/42	1.382801e-17	1.241755e-15	0	0	4.266738e+02	1.656341e+04	MEF2C;TNNT2;MYL2;MYL3;GATA4;TNNI3;MYH6;MYH7
GO_Biological_Process_2023	Heart Development (GO:0007507)	10/171	1.382748e-16	1.034757e-14	0	0	1.367840e+02	4.994980e+03	MEF2C;MYL2;HAND2;GATA4;TNNI3;CACNA1C;TBX5;NKX2-5;MYH6;MYH7
GO_Biological_Process_2023	Striated Muscle Contraction (GO:0006941)	8/57	1.921912e-16	1.232769e-14	0	0	2.958367e+02	1.070575e+04	RYR2;TNNT2;MYL2;MYL3;TNNI3;SCN5A;MYH6;MYH7
GO_Biological_Process_2023	Cardiac Muscle Tissue Morphogenesis (GO:0055008)	7/31	5.154123e-16	2.892751e-14	0	0	4.850660e+02	1.707508e+04	TNNT2;MYL2;MYL3;TNNI3;NKX2-5;MYH6;MYH7
GO_Biological_Process_2023	Cardiac Conduction System Development (GO:0003161)	6/25	5.350369e-14	2.669240e-12	0	0	4.849069e+02	1.481828e+04	NPPB;NPPA;GATA4;SCN5A;TBX5;NKX2-5
GO_Biological_Process_2023	Adult Heart Development (GO:0007512)	4/8	4.060148e-11	1.823007e-09	0	0	1.331800e+03	3.186627e+04	HAND2;NKX2-5;MYH6;MYH7
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Contraction (GO:0055117)	5/35	1.391332e-10	5.679163e-09	0	0	2.375119e+02	5.390473e+03	RYR2;NPPA;TNNI3;SCN5A;NKX2-5
GO_Biological_Process_2023	Cardiac Muscle Tissue Development (GO:0048738)	5/52	1.102920e-09	4.126760e-08	0	0	1.514742e+02	3.124201e+03	NPPB;NPPA;GATA4;SCN5A;NKX2-5
GO_Biological_Process_2023	Circulatory System Development (GO:0072359)	6/132	1.863669e-09	6.436828e-08	0	0	7.272894e+01	1.461904e+03	MEF2C;MYL2;HAND2;TNNI3;CACNA1C;TBX5
GO_Biological_Process_2023	Regulation Of Heart Contraction (GO:0008016)	5/69	4.722261e-09	1.514497e-07	0	0	1.111440e+02	2.130739e+03	RYR2;TNNT2;CACNA1C;NKX2-5;MYH6
GO_Biological_Process_2023	Regulation Of Striated Muscle Contraction (GO:0006942)	4/29	1.360505e-08	4.072445e-07	0	0	2.128640e+02	3.855568e+03	RYR2;MYL2;MYL3;NKX2-5
GO_Biological_Process_2023	Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002)	4/30	1.568875e-08	4.402655e-07	0	0	2.046667e+02	3.677926e+03	RYR2;CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Negative Regulation Of Striated Muscle Cell Apoptotic Process (GO:0010664)	3/7	2.537535e-08	6.702078e-07	0	0	9.364219e+02	1.637754e+04	HAND2;GATA4;NKX2-5
GO_Biological_Process_2023	Positive Regulation Of Cardiocyte Differentiation (GO:1905209)	3/9	6.082863e-08	1.503410e-06	0	0	6.242188e+02	1.037152e+04	MEF2C;NKX2-5;TBX5
GO_Biological_Process_2023	Embryonic Heart Tube Morphogenesis (GO:0003143)	4/42	6.361870e-08	1.503410e-06	0	0	1.399509e+02	2.319036e+03	RYR2;MEF2C;GATA4;NKX2-5
GO_Biological_Process_2023	Muscle Filament Sliding (GO:0030049)	3/10	8.684639e-08	1.856858e-06	0	0	5.350179e+02	8.698922e+03	TNNT2;MYH6;MYH7
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010665)	3/10	8.684639e-08	1.856858e-06	0	0	5.350179e+02	8.698922e+03	HAND2;GATA4;NKX2-5
GO_Biological_Process_2023	Myofibril Assembly (GO:0030239)	4/46	9.252893e-08	1.888431e-06	0	0	1.265968e+02	2.050330e+03	TNNT2;MYL2;MYH6;MYH7
GO_Biological_Process_2023	Blood Circulation (GO:0008015)	4/50	1.302716e-07	2.543129e-06	0	0	1.155652e+02	1.832130e+03	NPPB;ACTC1;MYL2;TNNI3
GO_Biological_Process_2023	Actin-Myosin Filament Sliding (GO:0033275)	3/12	1.590288e-07	2.856157e-06	0	0	4.160833e+02	6.513444e+03	TNNT2;MYH6;MYH7
GO_Biological_Process_2023	Atrial Cardiac Muscle Tissue Development (GO:0003228)	3/12	1.590288e-07	2.856157e-06	0	0	4.160833e+02	6.513444e+03	NKX2-5;TBX5;MYH6
GO_Biological_Process_2023	Membrane Depolarization During Action Potential (GO:0086010)	3/13	2.066142e-07	3.568068e-06	0	0	3.744563e+02	5.763785e+03	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Heart Process (GO:0003015)	3/16	4.038352e-07	6.252483e-06	0	0	2.880000e+02	4.240011e+03	ACTC1;MYL2;TNNI3
GO_Biological_Process_2023	Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064)	3/16	4.038352e-07	6.252483e-06	0	0	2.880000e+02	4.240011e+03	RYR2;CACNA1C;TBX5
GO_Biological_Process_2023	Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012)	3/16	4.038352e-07	6.252483e-06	0	0	2.880000e+02	4.240011e+03	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Cardiac Atrium Morphogenesis (GO:0003209)	3/18	5.877426e-07	8.512788e-06	0	0	2.495750e+02	3.580647e+03	GATA4;NKX2-5;MYH6
GO_Biological_Process_2023	Cardiac Muscle Cell Contraction (GO:0086003)	3/18	5.877426e-07	8.512788e-06	0	0	2.495750e+02	3.580647e+03	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Cardiac Ventricle Development (GO:0003231)	3/19	6.975271e-07	9.787177e-06	0	0	2.339648e+02	3.316621e+03	GATA4;SCN5A;TBX5
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882)	3/20	8.201295e-07	1.115873e-05	0	0	2.201912e+02	3.085716e+03	RYR2;TNNI3;CACNA1C
GO_Biological_Process_2023	Positive Regulation Of Heart Contraction (GO:0045823)	3/21	9.562455e-07	1.226726e-05	0	0	2.079479e+02	2.882210e+03	RYR2;NPPA;NKX2-5
GO_Biological_Process_2023	Regulation Of Cardiac Conduction (GO:1903779)	3/21	9.562455e-07	1.226726e-05	0	0	2.079479e+02	2.882210e+03	RYR2;TBX5;NKX2-5
GO_Biological_Process_2023	Muscle Contraction (GO:0006936)	4/94	1.680027e-06	2.095367e-05	0	0	5.893630e+01	7.836583e+02	RYR2;TNNT2;MYH6;MYH7
GO_Biological_Process_2023	Cardiac Muscle Cell Development (GO:0055013)	3/26	1.863766e-06	2.202186e-05	0	0	1.627011e+02	2.146501e+03	MYL2;NKX2-5;MYH6
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Contraction (GO:0086004)	3/26	1.863766e-06	2.202186e-05	0	0	1.627011e+02	2.146501e+03	RYR2;CACNA1C;SCN5A
GO_Biological_Process_2023	Cardiac Muscle Cell Differentiation (GO:0055007)	3/27	2.095481e-06	2.412490e-05	0	0	1.559141e+02	2.038690e+03	MEF2C;NKX2-5;MYH6
GO_Biological_Process_2023	Cardiac Muscle Cell Action Potential (GO:0086001)	3/29	2.614606e-06	2.863313e-05	0	0	1.439062e+02	1.849828e+03	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Sarcomere Organization (GO:0045214)	3/29	2.614606e-06	2.863313e-05	0	0	1.439062e+02	1.849828e+03	TNNT2;MYH6;MYH7
GO_Biological_Process_2023	Response To Calcium Ion (GO:0051592)	4/106	2.717134e-06	2.904746e-05	0	0	5.197124e+01	6.660599e+02	RYR2;MEF2C;TNNT2;SCN5A
GO_Biological_Process_2023	Ventricular Septum Development (GO:0003281)	3/37	5.533209e-06	5.646388e-05	0	0	1.100018e+02	1.331544e+03	GATA4;TBX5;NKX2-5
GO_Biological_Process_2023	Aortic Valve Morphogenesis (GO:0003180)	3/37	5.533209e-06	5.646388e-05	0	0	1.100018e+02	1.331544e+03	NPPA;GATA4;NKX2-5
GO_Biological_Process_2023	Heart Looping (GO:0001947)	3/38	6.003884e-06	5.990542e-05	0	0	1.068536e+02	1.284712e+03	MEF2C;GATA4;NKX2-5
GO_Biological_Process_2023	Positive Regulation Of ATP-dependent Activity (GO:0032781)	3/39	6.500311e-06	6.344868e-05	0	0	1.038802e+02	1.240710e+03	RYR2;TNNT2;MYL3
GO_Biological_Process_2023	Aortic Valve Development (GO:0003176)	3/40	7.023152e-06	6.709352e-05	0	0	1.010676e+02	1.199298e+03	NPPA;GATA4;NKX2-5
GO_Biological_Process_2023	Regulation Of Heart Rate By Cardiac Conduction (GO:0086091)	3/41	7.573070e-06	7.083976e-05	0	0	9.840296e+01	1.160261e+03	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Determination Of Heart Left/Right Asymmetry (GO:0061371)	3/42	8.150727e-06	7.369941e-05	0	0	9.587500e+01	1.123406e+03	MEF2C;GATA4;NKX2-5
GO_Biological_Process_2023	His-Purkinje System Development (GO:0003164)	2/5	8.535344e-06	7.369941e-05	0	0	7.834510e+02	9.143887e+03	NKX2-5;TBX5
GO_Biological_Process_2023	Cell-Cell Signaling Involved In Cardiac Conduction (GO:0086019)	2/5	8.535344e-06	7.369941e-05	0	0	7.834510e+02	9.143887e+03	RYR2;TBX5
GO_Biological_Process_2023	Negative Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010667)	2/5	8.535344e-06	7.369941e-05	0	0	7.834510e+02	9.143887e+03	HAND2;NKX2-5
GO_Biological_Process_2023	Cardiac Conduction (GO:0061337)	3/46	1.075189e-05	9.108676e-05	0	0	8.693895e+01	9.946189e+02	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization (GO:0060371)	2/6	1.279582e-05	1.044604e-04	0	0	5.875588e+02	6.619668e+03	SCN5A;TBX5
GO_Biological_Process_2023	Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization (GO:0060372)	2/6	1.279582e-05	1.044604e-04	0	0	5.875588e+02	6.619668e+03	NPPA;SCN5A
GO_Biological_Process_2023	Negative Regulation Of Systemic Arterial Blood Pressure (GO:0003085)	2/8	2.385862e-05	1.912950e-04	0	0	3.916667e+02	4.168651e+03	NPPB;NPPA
