Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Lung Development (GO:0030324)	3/33	2.258390e-06	7.430102e-04	0	0	1.534923e+02	1.995532e+03	PDPN;NKX2-1;FOXJ1
GO_Biological_Process_2023	Negative Regulation Of Cell Differentiation (GO:0045596)	4/207	1.840136e-05	3.027024e-03	0	0	3.248112e+01	3.541444e+02	CAV1;NKX2-1;HOPX;FOXA2
GO_Biological_Process_2023	Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)	3/83	3.711669e-05	4.070463e-03	0	0	5.741538e+01	5.857198e+02	PDPN;NKX2-1;FOXA2
GO_Biological_Process_2023	Regulation Of Response To External Stimulus (GO:0032101)	3/127	1.318121e-04	8.045909e-03	0	0	3.696030e+01	3.302082e+02	CAV1;AGER;FOXA2
GO_Biological_Process_2023	Positive Regulation Of Cholesterol Efflux (GO:0010875)	2/22	1.373139e-04	8.045909e-03	0	0	1.426000e+02	1.268176e+03	ABCA3;CAV1
GO_Biological_Process_2023	Respiratory Tube Development (GO:0030323)	2/27	2.081603e-04	8.045909e-03	0	0	1.140514e+02	9.668370e+02	PDPN;NKX2-1
GO_Biological_Process_2023	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	4/387	2.089082e-04	8.045909e-03	0	0	1.705918e+01	1.445529e+02	CAV1;PDPN;FOXJ1;FOXA2
GO_Biological_Process_2023	Regulation Of Blood Coagulation (GO:0030193)	2/29	2.405537e-04	8.045909e-03	0	0	1.055926e+02	8.798574e+02	CAV1;FOXA2
GO_Biological_Process_2023	Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719)	2/30	2.576160e-04	8.045909e-03	0	0	1.018163e+02	8.414142e+02	NKX2-1;FOXA2
GO_Biological_Process_2023	Positive Regulation Of Cholesterol Transport (GO:0032376)	2/31	2.752543e-04	8.045909e-03	0	0	9.830049e+01	8.058493e+02	ABCA3;CAV1
GO_Biological_Process_2023	Regulation Of Cholesterol Efflux (GO:0010874)	2/32	2.934678e-04	8.045909e-03	0	0	9.501905e+01	7.728605e+02	ABCA3;CAV1
GO_Biological_Process_2023	Respiratory System Development (GO:0060541)	2/32	2.934678e-04	8.045909e-03	0	0	9.501905e+01	7.728605e+02	PDPN;NKX2-1
GO_Biological_Process_2023	Negative Regulation Of Cytokine Production (GO:0001818)	3/178	3.564243e-04	9.020277e-03	0	0	2.612176e+01	2.073908e+02	SFTPD;FOXJ1;AGER
GO_Biological_Process_2023	Organic Substance Transport (GO:0071702)	3/201	5.084684e-04	1.194901e-02	0	0	2.306061e+01	1.748941e+02	ABCA3;CAV1;PDPN
GO_Biological_Process_2023	Positive Regulation Of Cell-Cell Adhesion (GO:0022409)	2/46	6.083945e-04	1.306003e-02	0	0	6.474026e+01	4.793814e+02	AGER;FOXA2
GO_Biological_Process_2023	Regulation Of Wound Healing (GO:0061041)	2/47	6.351382e-04	1.306003e-02	0	0	6.329841e+01	4.659819e+02	CAV1;FOXA2
GO_Biological_Process_2023	Negative Regulation Of Multicellular Organismal Process (GO:0051241)	3/231	7.620758e-04	1.474841e-02	0	0	1.999595e+01	1.435602e+02	NKX2-1;AGER;FOXA2
GO_Biological_Process_2023	Cellular Response To Peptide (GO:1901653)	2/56	9.010347e-04	1.646891e-02	0	0	5.272487e+01	3.697050e+02	CAV1;AGER
GO_Biological_Process_2023	Gland Development (GO:0048732)	2/74	1.567121e-03	2.713593e-02	0	0	3.950794e+01	2.551626e+02	CAV1;NKX2-1
GO_Biological_Process_2023	Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)	2/77	1.695294e-03	2.788759e-02	0	0	3.792190e+01	2.419379e+02	CAV1;NKX2-1
GO_Biological_Process_2023	Negative Regulation Of Developmental Process (GO:0051093)	2/109	3.359833e-03	3.835815e-02	0	0	2.653805e+01	1.511571e+02	FOXJ1;HOPX
GO_Biological_Process_2023	Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015)	2/111	3.481598e-03	3.835815e-02	0	0	2.604849e+01	1.474413e+02	CAV1;NKX2-1
GO_Biological_Process_2023	Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101)	2/111	3.481598e-03	3.835815e-02	0	0	2.604849e+01	1.474413e+02	CAV1;NKX2-1
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	6/2028	3.522329e-03	3.835815e-02	0	0	5.329970e+00	3.010705e+01	SFTPC;CAV1;NKX2-1;FOXJ1;HOPX;FOXA2
GO_Biological_Process_2023	Regulation Of Interleukin-6 Production (GO:0032675)	2/114	3.668087e-03	3.835815e-02	0	0	2.534694e+01	1.421478e+02	FOXJ1;AGER
GO_Biological_Process_2023	Positive Regulation Of Gap Junction Assembly (GO:1903598)	1/5	3.993945e-03	3.835815e-02	0	0	3.330000e+02	1.839151e+03	CAV1
GO_Biological_Process_2023	Epithelial Tube Branching Involved In Lung Morphogenesis (GO:0060441)	1/5	3.993945e-03	3.835815e-02	0	0	3.330000e+02	1.839151e+03	NKX2-1
