gene_symbol,log2fc,pval,padj
TAGLN,6.0891724,0.0,0.0
MYL9,5.5801883,0.0,0.0
ADIRF,4.7217293,0.0,0.0
TPM2,5.5075293,0.0,0.0
CALD1,4.546936,0.0,0.0
DSTN,4.002141,0.0,0.0
PPP1R14A,5.94479,0.0,0.0
ACTA2,6.140187,0.0,0.0
TPM1,4.313772,0.0,0.0
HSPB1,3.5240777,0.0,0.0
MYH11,6.29348,0.0,0.0
IGFBP7,3.793803,0.0,0.0
PLN,6.3609424,0.0,0.0
MFGE8,3.6244893,0.0,0.0
MYL6,1.8631362,0.0,0.0
CRYAB,4.080775,0.0,0.0
BGN,3.8334377,0.0,0.0
SPARCL1,3.6266165,0.0,0.0
CSRP1,4.166031,0.0,0.0
NEXN,4.778163,0.0,0.0
VIM,1.5700902,0.0,0.0
MAP1B,4.7359076,0.0,0.0
RAMP1,5.4693065,0.0,0.0
FHL1,3.3661125,0.0,0.0
MYLK,5.8328233,0.0,0.0
NDUFA4,1.9531549,0.0,0.0
CNN1,5.729114,0.0,0.0
PDLIM3,3.6682167,0.0,0.0
SOD3,3.5772038,0.0,0.0
CRIP2,3.3684323,0.0,0.0
RGS5,5.374105,0.0,0.0
MGP,2.93167,0.0,0.0
FLNA,3.3202698,0.0,0.0
CD151,2.7964487,0.0,0.0
CAV1,3.2328022,0.0,0.0
CALM2,1.4824371,0.0,0.0
LMOD1,5.5032406,0.0,0.0
ITGB1,2.272775,0.0,0.0
ACTN1,3.8989954,0.0,0.0
ACTG2,5.749345,0.0,0.0
LGALS1,1.8438556,0.0,0.0
PALLD,3.730506,0.0,0.0
PDLIM7,3.4809835,0.0,0.0
PLS3,3.5531285,0.0,0.0
ACTB,1.2409085,0.0,0.0
FXYD1,2.8653305,0.0,0.0
LPP,3.4610548,0.0,0.0
MYH10,4.7623606,0.0,0.0
S100A6,1.4166088,0.0,0.0
TCEAL4,2.5842423,0.0,0.0
SORBS2,4.775667,0.0,0.0
MGST3,1.8340609,0.0,0.0
TGFB1I1,3.6917684,0.0,0.0
NOV,5.798367,0.0,0.0
TINAGL1,4.1429434,0.0,0.0
FILIP1L,3.0763402,0.0,0.0
LTBP1,3.2697036,0.0,0.0
PPP1R12B,4.343557,0.0,0.0
TGM2,3.2652884,0.0,0.0
FN1,2.6168768,0.0,0.0
SYNPO2,4.190542,0.0,0.0
COX7A1,2.5213146,0.0,0.0
CSRP2,4.411191,0.0,0.0
SMTN,4.425475,0.0,0.0
HCFC1R1,2.7137032,0.0,0.0
A2M,2.3273075,0.0,0.0
ILK,2.4990077,0.0,0.0
ASPN,4.320896,0.0,0.0
TSC22D1,2.6659913,0.0,0.0
COL6A2,2.1865532,0.0,0.0
SVIL,3.4626076,0.0,0.0
AEBP1,2.4460294,0.0,0.0
SNCG,3.7735026,0.0,0.0
ITGA8,6.174174,0.0,0.0
MSRB3,3.8374224,0.0,0.0
KCNMB1,4.4992247,0.0,0.0
CAV2,3.1882744,4.1653900270182e-310,8.189989871123155e-308
CYB5R3,2.0902753,6.837006340629459e-305,1.330982363063925e-302
SPARC,2.0930314,9.86306342038147e-294,1.882791776422723e-291
EID1,1.448237,3.8666018667499098e-292,7.310108260003531e-290
MCAM,4.559673,5.491160074708808e-290,1.0090391531675196e-287
FBLIM1,4.0961766,1.660430348448502e-280,3.022905695480967e-278
OGN,2.2181787,5.046935733054472e-271,9.021168216665183e-269
CD9,1.633919,6.397972263083227e-267,1.1132471737764815e-264
C12orf75,3.1182473,1.949188637888421e-260,3.2478768642510286e-258
ID4,4.055257,5.0940019675647317e-259,8.41666106607208e-257
SLMAP,3.7015696,1.4911295205089902e-254,2.3836250920526637e-252
PPP1R12A,2.2213566,1.5628621025077383e-253,2.4781447306054154e-251
C11orf96,2.5416188,1.1395692311516714e-251,1.792496817832333e-249
TPM4,1.6491311,2.4464733965751608e-251,3.8176634859889533e-249
PPP1CB,1.6741174,1.4320535589096157e-250,2.2170895334866824e-248
CLIC4,2.6036146,2.902860914358065e-249,4.459066507664709e-247
SLC25A4,2.9410627,2.1234773897261606e-241,3.187161254717234e-239
GAPDH,0.79982907,1.1980667982009834e-238,1.7845749535021013e-236
DKK3,3.732655,1.939535260447223e-235,2.8459061411129327e-233
TMEM47,3.6035957,2.073847597321869e-227,2.933524565362776e-225
SORBS1,4.7202344,5.794772596388956e-226,8.08062544611345e-224
FILIP1,3.3596752,3.6141062253928953e-218,4.867161411210624e-216
ACTN4,2.2065263,5.927869812281625e-216,7.875255151964954e-214
PDGFRB,3.3627222,4.4389409942284475e-215,5.818563855234649e-213
IGFBP2,3.9752858,5.88151562487714e-215,7.658434451412869e-213
SH3BGRL,1.358622,1.1944497700764219e-214,1.5450836433712242e-212
IFITM3,1.5091561,1.4350226419717082e-214,1.844144783427956e-212
PEBP1,1.3007075,3.479059773370988e-214,4.4419008613000243e-212
